id,title,description,thumbnail
1,AI Co-Development,Exploring the future of human-AI collaborative development through the creation of schmitz.ai,/images/ai-collab-thumbnail.jpg
2,Apple: Product Design Lead,Executed product design functions on a tactical and strategic level for a business-critical admin web application used globally,/images/apple-thumbnail.jpg
3,Magic Leap: Interaction Design,Defined operating system-level interaction paradigms for spatial computing on Magic Leap 1,/images/magic-leap-thumbnail.gif
4,Petal: Metrics,Created data visualization systems for neurotechnology research and development,/images/petal-metrics-thumbnail.gif
5,"Web3 AI Registry","Decentralized discovery platform for AI agents using custom MCP servers and .agt domains on Polygon blockchain","/images/agt-registry-thumbnail.jpg"
6,"Thubble: Collective Intelligence","Engineering a 15-Workflow AI Synthesis Platform for Enterprise Decision-Making and Product Development","/images/thubble-thumbnail.jpg"
7,"YouTube Voice Studio","Professional text-to-speech converter with Google Cloud integration and custom voice presets","/images/youtube-tts-thumbnail.jpg"
8,".agt: AI Agent Domains","Web3 TLD registry for AI agents - pioneering the agentic web namespace","/images/agt-domains-thumbnail.jpg"
9,"PTZ Camera Control","Reimagining construction site security monitoring with intuitive browser-based camera controls replacing clunky legacy interfaces","/images/ptz-controller-thumbnail.jpg"
10,"Site Plan Maker","Professional surveillance planning platform with interactive mapping and PDF overlays","/images/siteplan-thumbnail.jpg"
11,"Security Dashboard","Multi-site construction monitoring system with adaptive grid layouts and real-time camera management","/images/security-dashboard-thumbnail.jpg"
13,"Pick.si Domain Directory","Full-stack marketplace with custom WHOIS integration, automated Celery workflows, and Stripe payments","/images/picksi-thumbnail.jpg"
